hashed_user_email,courserun_readable_id,courseaccess_role,organization,platform
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14_73x/1T2014,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/1T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/1T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/1T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/1T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/1T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2019a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/2T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/3T2016,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/3T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/3T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/3T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/3T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.100x/3T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/1T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/1T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/1T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/1T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/1T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/1T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2019a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/2T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/3T2016,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/3T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/3T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/3T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/3T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.310x/3T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x_1/1T2015,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x_1/1T2016,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/1T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/1T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/1T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/1T2020a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/1T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/1T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/2013_Spring,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/2T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/2T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/2T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/2T2019a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/2T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/3T2016,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/3T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/3T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/3T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/3T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.73x/3T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/1T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/1T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/1T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/1T2020a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/1T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2019a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/2T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/3T2016,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/3T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/3T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.740x/3T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.74x/3T2015,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/1T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/1T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/2T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/3T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/3T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/3T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/14.750x/3T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/1T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/1T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/1T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/1T2020a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/1T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/1T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/2T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/2T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/2T2019,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/2T2019a,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/2T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/3T2017,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/3T2018,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/3T2020,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/3T2021,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,MITx/JPAL102x/3T2022,staff,MITx,edX.org
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.003x+2T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.003x+3T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.003x+3T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.009x+1T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.009x+1T2025,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.009x+2T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.009x+2T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.009x+2T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+1T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+2T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+2T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+2T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+3T2021,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+3T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+3T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.100x+3T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+1T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+1T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+1T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+2T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+2T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+2T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+3T2021,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+3T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+3T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.310x+3T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+1T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+1T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+1T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+3T2021,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+3T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+3T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.73x+3T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.740x+1T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.740x+1T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.740x+1T2025,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.740x+2T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.740x+2T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.740x+2T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+1T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+2T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+2T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+3T2021,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+3T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+3T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+14.750x+3T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+1T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+1T2023,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+1T2024,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+3T2021,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+3T2022,staff,MITxT,MITx Online
ec5ce935a20283a1fdcbea4ed4badac6ff57152d62aa4f35e97f62de54e64f6e,course-v1:MITxT+JPAL102x+3T2023,staff,MITxT,MITx Online
